Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,status.status,status.service,latitude,longitude,altitude,position_covariance_0,position_covariance_1,position_covariance_2,position_covariance_3,position_covariance_4,position_covariance_5,position_covariance_6,position_covariance_7,position_covariance_8,position_covariance_type,easting,northing,translation_easting,translation_northing,rotation_angle_degrees,transformed_easting,transformed_northing,error
1709121592.5760891,1176,1709121592,575017660,,2,0,63.2396691821185,9.501873577419516,377.2342545214647,61.0,0.0,0.0,0.0,141.0,0.0,0.0,0.0,0.0,0,224043.7926083188,7024128.044030446,0.08010267678764649,0.04611475300043821,-6.407472312730533e-07,224043.87116018776,7024128.041524931,0.07859181714636417
1709121592.6714425,1177,1709121592,670827350,,2,0,63.23966757492514,9.50187079279901,377.2384584914698,60.0,0.0,0.0,0.0,140.0,0.0,0.0,0.0,0.0,0,224043.6377528121,7024127.877437038,-0.15485550669836812,-0.16659340728074312,1.2185719810986484e-06,224043.48836300184,7024127.882202021,0.1494657835909033
1709121592.777198,1178,1709121592,776562133,,2,0,63.2396679105872,9.501870619890347,377.2449346531977,56.0,0.0,0.0,0.0,131.0,0.0,0.0,0.0,0.0,0,224043.6322958376,7024127.915478715,-0.005456974497064948,0.0380416763946414,5.435481398308184e-08,224043.6256322549,7024127.915691258,0.006666971511574351
1709121592.8688807,1179,1709121592,868090153,,2,0,63.23966720348161,9.501871370413095,377.2460677188511,62.0,0.0,0.0,0.0,146.0,0.0,0.0,0.0,0.0,0,224043.66314342065,7024127.83367689,0.03084758305340074,-0.0818018252030015,-2.726292507304606e-07,224043.69656617442,7024127.832610828,0.03343975114895103
1709121592.9714243,1180,1709121592,970974009,,2,0,63.23966779843387,9.50187226186,377.24855215179247,61.0,0.0,0.0,0.0,141.0,0.0,0.0,0.0,0.0,0,224043.71348585107,7024127.895946677,0.050342430418822914,0.062269787304103374,-3.940408532798756e-07,224043.7617929576,7024127.894405859,0.04833167349749679
1709121593.096429,1181,1709121593,95138539,,2,0,63.23966785455329,9.50187299183415,377.2518004291493,57.0,0.0,0.0,0.0,132.0,0.0,0.0,0.0,0.0,0,224043.750592787,7024127.899039229,0.03710693592438474,0.003092552535235882,-3.0156968477967894e-07,224043.78756346882,7024127.897860001,0.036989483572923525
1709121593.1718087,1182,1709121593,171293150,,2,0,63.23966663871368,9.501873154773865,377.2466364036927,56.0,0.0,0.0,0.0,129.0,0.0,0.0,0.0,0.0,0,224043.74714461397,7024127.763239378,-0.0034481730253901333,-0.1357998512685299,-7.198082130344119e-09,224043.7480270568,7024127.763211232,0.0008828916025962146
1709121593.2746189,1183,1709121593,273230398,,2,0,63.239666823301896,9.501872407975988,377.2400050821348,56.0,0.0,0.0,0.0,129.0,0.0,0.0,0.0,0.0,0,224043.71149358747,7024127.786965542,-0.03565102649736218,0.023726163432002068,2.9667646117559343e-07,224043.67512278695,7024127.788125636,0.036389297183820585
1709121593.377661,1184,1709121593,374576052,,2,0,63.239666258231495,9.501871959002878,377.2484599804234,59.0,0.0,0.0,0.0,138.0,0.0,0.0,0.0,0.0,0,224043.6836040356,7024127.726110851,-0.027889551856787875,-0.06085469014942646,2.1144677475604112e-07,224043.65768189653,7024127.726937672,0.02593532200330654
1709121593.4685128,1185,1709121593,467905573,,2,0,63.23966785526865,9.501872161822044,377.2501944288526,59.0,0.0,0.0,0.0,137.0,0.0,0.0,0.0,0.0,0,224043.7090168204,7024127.9026926365,0.02541278477292508,0.17658178508281708,-1.611852837868355e-07,224043.7287771942,7024127.902062354,0.019770423094225657
